annotation_version,sample_id,cluster_key,leiden,n_cells,fraction,top_marker_genes,suggested_Tier_A,suggested_Tier_B,annotation_score,annotation_note,final_Tier_A,final_Tier_B,notes
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_io_v1,xenium_graphclust,2,20236,0.0874147926080157,"DMBT1, REG4, EPCAM, TMPRSS2, CDX2, IQGAP2, TFF3, ANPEP",pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,0.7758712794419799,best marker program: ductal_epithelial_score_z; vetoed unsupported duodenum_epithelial_score_z; curated graphclust override; curated graphclust override; curated graphclust override,Mucosa gland,mucosa gland,"Manual Xenium Explorer review: 10x graphclust 2 is mucosa gland, not pancreatic ductal epithelium."
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_io_v1,xenium_graphclust,3,20132,0.0869655369037642,"FN1, SPARC, LUM, VCAN, ACTA2, SPON2, C1S, IGFBP7",Fibroblasts,activated fibroblast/stellate,2.0,best marker program: top_marker_rule_5_hits,Fibroblasts,activated fibroblast/stellate,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_io_v1,xenium_graphclust,4,18884,0.081574468452746,"SPARCL1, A2M, RGS5, IGFBP7, ACTA2, IFITM3, C1S, C1R",Endothelial cells,endothelial/perivascular,1.169397087995986,best marker program: endothelial_score_z,Endothelial cells,endothelial/perivascular,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_io_v1,xenium_graphclust,5,17634,0.0761747604689538,"CEACAM6, CXCL5, EPCAM, CEACAM8, CEACAM1, IFNGR1, MET, SPARC",pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0.5344382318795738,best marker program: ductal_epithelial_score_z,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_io_v1,xenium_graphclust,6,16110,0.0695914364951143,"JCHAIN, IGKC, IGHM, IGHG1, IGHGP, FKBP11, XBP1, IGHG2",B lineage,plasma-like B lineage,2.3,best marker program: top_marker_rule_5_hits,B lineage,plasma-like B lineage,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_io_v1,xenium_graphclust,7,13009,0.0561958409289225,"S100A9, CXCR2, ITGAX, TNFRSF1B, FCGR2A, MCEMP1, CXCR1, CCR1",Myeloid cells,inflammatory myeloid,2.4,best marker program: top_marker_rule_6_hits,Myeloid cells,inflammatory myeloid,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_io_v1,xenium_graphclust,8,14078,0.0608136711966616,"G0S2, CD8B, CFC1, TIGIT, LILRB2, ERBB4, FLT1, IL2",Unknown,Unknown,-0.1949694767690702,weak best score: endothelial_score_z,Unknown,Unknown,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_io_v1,xenium_graphclust,9,13830,0.0597423691326773,"APOE, CTSD, PLA2G7, FN1, CD163, SPARC, CD74, LAMP1",Myeloid cells,myeloid/macrophage,2.4,best marker program: top_marker_rule_4_hits,Myeloid cells,myeloid/macrophage,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_pancreas_v1,xenium_graphclust,1,17856,0.1329590385488879,"VCAN, SFRP2, FBN1, COL5A2, THBS2, CTSK, PDGFRB, LTBP2",Fibroblasts,activated fibroblast/stellate,2.0,best marker program: top_marker_rule_2_hits,Fibroblasts,activated fibroblast/stellate,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_pancreas_v1,xenium_graphclust,10,3884,0.0289209736628517,"C7, SFRP4, SFRP2, FBLN1, PDGFRA, CRISPLD2, ASPN, VCAN",Fibroblasts,activated fibroblast/stellate,2.0,best marker program: top_marker_rule_2_hits,Fibroblasts,activated fibroblast/stellate,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_pancreas_v1,xenium_graphclust,11,5174,0.0385265493644683,"PECAM1, CD93, CD34, ADGRL4, APOLD1, CLEC14A, VWF, STC1",Endothelial cells,endothelial,3.7162222435398866,ambiguous: top_marker_rule_4_hits close to second-best,Endothelial cells,endothelial,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_pancreas_v1,xenium_graphclust,12,3748,0.027908292813689,"SFRP2, VCAN, FBN1, SFRP4, MS4A6A, BASP1, COL5A2, AIF1",Fibroblasts,activated fibroblast/stellate,2.0,best marker program: top_marker_rule_2_hits,Fibroblasts,activated fibroblast/stellate,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_pancreas_v1,xenium_graphclust,13,3650,0.0271785669076747,"GPRC5A, MALL, ACTG2, EPCAM, C15orf48, FHL2, SEMA3C, FSTL3",pancreatic ductal epithelium,ductal/tumor epithelial,0.1907948017673111,best marker program: ductal_epithelial_score_z; vetoed unsupported plasma_cell_score_z,pancreatic ductal epithelium,ductal/tumor epithelial,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_pancreas_v1,xenium_graphclust,14,3059,0.0227778729234457,"PECAM1, PDGFRB, APOLD1, ADAMTS1, CD93, CAVIN1, ADGRL4, CD34",Endothelial cells,endothelial,2.5,best marker program: top_marker_rule_2_hits,Endothelial cells,endothelial,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_pancreas_v1,xenium_graphclust,15,3266,0.0243192327453331,"GPRC5A, MALL, EPCAM, TMC5, FHL2, GPX2, MDM2, EHF",pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,0.6071111449255038,best marker program: ductal_epithelial_score_z,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_pancreas_v1,xenium_graphclust,16,3015,0.0224502408840108,"AMY2A, GATM, AQP8, CPA3, ANPEP, CFTR, FKBP11, MYC",pancreatic acinar epithelium,acinar epithelial,2.2,best marker program: top_marker_rule_3_hits,pancreatic acinar epithelium,acinar epithelial,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_pancreas_v1,xenium_graphclust,17,2263,0.0168507114827583,"MYH11, ADAMTS1, ACTA2, MYLK, CNN1, CRISPLD2, PDGFRB, TNC",Fibroblasts,activated fibroblast/stellate,0.5300573401728025,best marker program: fibroblast_stellate_score_z,Fibroblasts,activated fibroblast/stellate,
