cell_id,epithelial_refinement_cluster,original_Tier_A,original_Tier_B,refined_Tier_A,refined_Tier_B
aainfhdn-1,5,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aainglhb-1,11,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aainokfc-1,20,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaioomjd-1,8,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aajaelba-1,11,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aajbemha-1,0,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aajciakn-1,20,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aajcooip-1,4,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aajdacpg-1,11,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aajdccmd-1,11,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aajdnhhk-1,11,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aajfajgg-1,11,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aajgbokp-1,8,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aajhepkd-1,5,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aajhmcnn-1,11,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aajjghnh-1,5,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aajkkamj-1,11,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aajmodop-1,11,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aajnchbo-1,18,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aakcojgf-1,11,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aakfpejd-1,2,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aalndcjf-1,4,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aalnjeke-1,4,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aalnjgmg-1,18,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aalnlhah-1,12,pancreatic acinar epithelium,acinar epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aaloipkg-1,1,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaloodjb-1,18,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aalpgncd-1,18,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aalphcjn-1,22,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aalphhof-1,0,pancreatic acinar epithelium,acinar epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aalpljgo-1,22,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aalppgja-1,1,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aamadcah-1,1,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aambibci-1,18,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aambkpno-1,12,pancreatic acinar epithelium,acinar epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aambnbbk-1,2,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aamcfnie-1,1,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aamcjdji-1,4,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aamckiaa-1,18,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aamcnpkj-1,10,pancreatic acinar epithelium,acinar epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aamcpfko-1,2,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aamdgaik-1,18,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aameadff-1,5,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aamebpne-1,17,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aameipkk-1,18,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aamekpca-1,0,pancreatic acinar epithelium,acinar epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aamlhhoe-1,11,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
