phenotype,n_cells,n_with_fiber,median_distance_px,mean_distance_px,imageid,pathology,fiber_type,median_distance_um,mean_distance_um
Vascular cells,4539,4344,44.45502864552898,51.73729320668738,JRP141,RA,COL4A1,14.447884309796917,16.8146202921734
B cells,7367,7276,37.628880234336194,43.084136545346254,JRP141,RA,CHP,12.229386076159264,14.002344377237533
CD4 T cells,19229,19018,43.69093538821481,49.10065245735898,JRP141,RA,CHP,14.199554001169814,15.95771204864167
CD8 T cells,9574,9500,42.58145295301552,48.124623797371875,JRP141,RA,CHP,13.838972209730045,15.64050273414586
Dendritic cells,29013,28392,45.99743294836028,51.435926531659014,JRP141,RA,CHP,14.949165708217091,16.71667612278918
MERTK+ Macrophages,3249,3159,52.243773695644514,58.19236044303093,JRP141,RA,CHP,16.979226451084468,18.912517143985053
Macrophages,17433,16880,49.65138475468907,56.36933250324507,JRP141,RA,CHP,16.136700045273948,18.320033063554646
Monocytes,33258,33069,41.97746353386908,47.282766445961755,JRP141,RA,CHP,13.642675648507451,15.36689909493757
Neutrophils,6360,6112,51.37342961527489,56.52112304729272,JRP141,RA,CHP,16.69636462496434,18.369364990370133
Plasma cells,6501,6493,39.77465525882684,44.42318657883474,JRP141,RA,CHP,12.926762959118724,14.43753563812129
T cells,3482,3355,51.91447488145436,58.39327344530419,JRP141,RA,CHP,16.872204336472667,18.97781386972386
Vascular cells,4539,4491,51.04552712748345,56.595748199399736,JRP141,RA,CHP,16.58979631643212,18.393618164804916
B cells,7367,6169,55.29726178689142,62.00866857351819,JRP141,RA,FN,17.971610080739712,20.152817286393415
CD4 T cells,19229,18365,49.73452038813192,56.50692884863303,JRP141,RA,FN,16.163719126142876,18.364751875805737
CD8 T cells,9574,9295,46.24530051139895,52.92390444704656,JRP141,RA,FN,15.029722666204659,17.200268945290134
Dendritic cells,29013,28046,45.18425633212391,52.22027893478797,JRP141,RA,FN,14.68488330794027,16.97159065380609
MERTK+ Macrophages,3249,3167,45.6942626418683,52.06585493283172,JRP141,RA,FN,14.850635358607198,16.92140285317031
Macrophages,17433,17146,40.59484475371713,47.07902064837591,JRP141,RA,FN,13.193324544958069,15.300681710722172
Monocytes,33258,32958,36.703767645888696,41.40289989284696,JRP141,RA,FN,11.928724484913827,13.455942465175262
Neutrophils,6360,6168,46.67146335011151,53.254620841163906,JRP141,RA,FN,15.16822558878624,17.30775177337827
Plasma cells,6501,6363,41.74934993970711,48.11676808942896,JRP141,RA,FN,13.56853873040481,15.637949629064412
T cells,3482,3405,47.71450569815802,53.70919231373813,JRP141,RA,FN,15.507214351901357,17.455487501964893
Vascular cells,4539,4452,54.66370538764645,59.07180121788697,JRP141,RA,FN,17.7657042509851,19.198335395813267
B cells,7367,5863,58.358218208286566,65.91799156050728,JRP141,RA,COL1A1bis,18.966420917693135,21.423347257164867
CD4 T cells,19229,18102,44.64270382082752,51.346017478378734,JRP141,RA,COL1A1bis,14.508878741768944,16.68745568047309
CD8 T cells,9574,8773,45.56089282853524,52.5942320883733,JRP141,RA,COL1A1bis,14.807290169273953,17.093125428721326
Dendritic cells,29013,25238,46.966829537629806,55.58945838406092,JRP141,RA,COL1A1bis,15.264219599729687,18.0665739748198
MERTK+ Macrophages,3249,2584,51.28129168462595,60.57071331503353,JRP141,RA,COL1A1bis,16.666419797503433,19.685481827385896
Macrophages,17433,13923,54.39390423816074,62.945520463097274,JRP141,RA,COL1A1bis,17.67801887740224,20.457294150506616
Monocytes,33258,29544,45.59011285574461,54.32175514026887,JRP141,RA,COL1A1bis,14.816786678116998,17.654570420587383
Neutrophils,6360,5408,47.5125875866913,55.4678934937229,JRP141,RA,COL1A1bis,15.441590965674674,18.02706538545994
Plasma cells,6501,5620,51.710889319440724,58.578271619359775,JRP141,RA,COL1A1bis,16.806039028818237,19.03793827629193
T cells,3482,2847,52.95328919570371,60.77941177741277,JRP141,RA,COL1A1bis,17.209818988603708,19.75330882765915
Vascular cells,4539,4495,43.23562525136548,46.42296479266527,JRP141,RA,COL1A1bis,14.05157820669378,15.087463557616212
B cells,7367,4384,79.9599641261292,81.21230626469415,JRP141,RA,MFAP5,25.98698834099199,26.3939995360256
CD4 T cells,19229,14193,66.61810474278165,71.83953436138994,JRP141,RA,MFAP5,21.650884041404037,23.347848667451732
CD8 T cells,9574,7569,61.61925693682868,67.84877589037586,JRP141,RA,MFAP5,20.02625850446932,22.050852164372156
Dendritic cells,29013,21608,62.484710949686374,68.66780585421441,JRP141,RA,MFAP5,20.30753105864807,22.317036902619684
MERTK+ Macrophages,3249,2886,53.355203994616005,60.69709475102721,JRP141,RA,MFAP5,17.3404412982502,19.726555794083843
Macrophages,17433,15320,50.39388554108857,58.51079333478835,JRP141,RA,MFAP5,16.378012800853785,19.016007833806217
Monocytes,33258,29639,43.67379068695412,52.26472285649021,JRP141,RA,MFAP5,14.19398197326009,16.98603492835932
Neutrophils,6360,4902,66.04937720117479,69.64480107846153,JRP141,RA,MFAP5,21.46604759038181,22.634560350499996
Plasma cells,6501,5899,43.075405944349654,51.50912383559613,JRP141,RA,MFAP5,13.999506931913638,16.740465246568743
T cells,3482,2935,59.74454899804388,65.58886629922722,JRP141,RA,MFAP5,19.416978424364263,21.31638154724885
Vascular cells,4539,3830,78.12707704496891,79.38466093247605,JRP141,RA,MFAP5,25.391300039614897,25.80001480305472
B cells,1651,906,85.75119549513616,85.82400609840964,JRP144,OA,COL6A1,27.86913853591925,27.892801981983133
CD4 T cells,1760,1672,39.30802807516703,44.75033984678648,JRP144,OA,COL6A1,12.775109124429285,14.543860450205607
CD8 T cells,662,654,38.88481369060406,44.12821900988386,JRP144,OA,COL6A1,12.637564449446321,14.341671178212254
Dendritic cells,710,671,37.261908098104286,43.94444268816671,JRP144,OA,COL6A1,12.110120131883892,14.281943873654182
MERTK+ Macrophages,1389,1279,38.08396499327845,45.27805785479939,JRP144,OA,COL6A1,12.377288622815497,14.715368802809802
Macrophages,6912,6538,39.741295139519806,46.34907154562785,JRP144,OA,COL6A1,12.915920920343938,15.063448252329051
Monocytes,13090,13019,35.08653692358153,39.09924669069768,JRP144,OA,COL6A1,11.403124500163997,12.707255174476748
Neutrophils,1037,990,46.58890081307489,51.322707264031415,JRP144,OA,COL6A1,15.14139276424934,16.67987986081021
Plasma cells,193,192,35.42608957352341,38.288223565640074,JRP144,OA,COL6A1,11.51347911139511,12.443672658833025
T cells,641,501,43.86339773588883,48.72177673121487,JRP144,OA,COL6A1,14.255604264163871,15.834577437644832
Vascular cells,6556,6476,45.81726594480238,48.1948626002422,JRP144,OA,COL6A1,14.890611432060775,15.663330345078716
B cells,1651,115,111.85445977365846,103.12574575714464,JRP144,OA,COL4A1,36.352699426439,33.51586737107201
CD4 T cells,1760,1248,58.91039334446175,65.5842052393661,JRP144,OA,COL4A1,19.14587783695007,21.31486670279398
CD8 T cells,662,421,82.9821585633348,84.56152040576369,JRP144,OA,COL4A1,26.96920153308381,27.4824941318732
Dendritic cells,710,417,79.02543226160162,78.11684897327163,JRP144,OA,COL4A1,25.683265485020527,25.38797591631328
MERTK+ Macrophages,1389,121,124.04805931210022,118.39794437929906,JRP144,OA,COL4A1,40.31561927643257,38.4793319232722
Macrophages,6912,1264,113.78745182139562,109.27049931645617,JRP144,OA,COL4A1,36.98092184195358,35.51291227784826
Monocytes,13090,5354,90.50017942642012,90.23235776797276,JRP144,OA,COL4A1,29.41255831358654,29.32551627459115
Neutrophils,1037,398,76.18790217485298,78.72951301849676,JRP144,OA,COL4A1,24.76106820682722,25.587091731011448
Plasma cells,193,106,70.53186774336926,75.61720163549062,JRP144,OA,COL4A1,22.92285701659501,24.575590531534452
T cells,641,398,70.39796052723328,72.97344813840638,JRP144,OA,COL4A1,22.879337171350816,23.716370644982074
Vascular cells,6556,6113,40.95585258648761,49.91930907924068,JRP144,OA,COL4A1,13.310652090608473,16.223775450753223
B cells,1651,1646,57.768266143515014,60.54359057297657,JRP144,OA,CHP,18.77468649664238,19.676666936217387
CD4 T cells,1760,1690,49.67901332710838,55.05626399322573,JRP144,OA,CHP,16.145679331310223,17.893285797798363
CD8 T cells,662,653,42.53858113261557,47.97552319056245,JRP144,OA,CHP,13.82503886810006,15.592045036932797
Dendritic cells,710,676,43.96031106651491,50.22168044957684,JRP144,OA,CHP,14.287101096617347,16.322046146112474
MERTK+ Macrophages,1389,1184,81.03934659559198,82.53751428399507,JRP144,OA,CHP,26.337787643567395,26.824692142298396
Macrophages,6912,6225,74.59840445546982,76.35149650879639,JRP144,OA,CHP,24.244481448027692,24.814236365358827
Monocytes,13090,12658,52.28681244766018,59.17459902440143,JRP144,OA,CHP,16.99321404548956,19.231744682930465
Neutrophils,1037,964,68.8429602949657,71.16338220303528,JRP144,OA,CHP,22.373962095863856,23.128099215986467
Plasma cells,193,192,49.58160604875484,53.72387119424037,JRP144,OA,CHP,16.114021965845325,17.46025813812812
T cells,641,606,64.55352053411252,68.67903813905073,JRP144,OA,CHP,20.97989417358657,22.320687395191488
Vascular cells,6556,6519,51.64278796651643,55.63463097398757,JRP144,OA,CHP,16.783906089117842,18.08125506654596
B cells,1651,1590,61.3820649884138,64.24707488986586,JRP144,OA,FN,19.949171121234485,20.880299339206406
CD4 T cells,1760,1552,46.86696536918299,53.66740029524587,JRP144,OA,FN,15.231763744984473,17.44190509595491
CD8 T cells,662,568,43.294719851924995,51.7523426667476,JRP144,OA,FN,14.070783951875624,16.81951136669297
Dendritic cells,710,619,42.704520985073046,51.539338230429,JRP144,OA,FN,13.878969320148741,16.750284924889428
MERTK+ Macrophages,1389,1324,38.91938972871415,46.563415334249015,JRP144,OA,FN,12.648801661832099,15.13310998363093
