radius,K,L,L_minus_r,radius_um,imageid,pathology,phenotype,fiber_type,cell_fiber_pair
30.769230769230766,10588.974653986563,58.056656094831254,27.287425325600488,10.0,JRP144,OA,MERTK+ Macrophages,COL6A1,MERTK+ Macrophages vs COL6A1
61.53846153846153,33261.83803075779,102.895927411313,41.35746587285146,20.0,JRP144,OA,MERTK+ Macrophages,COL6A1,MERTK+ Macrophages vs COL6A1
92.3076923076923,68288.50517051334,147.43441358274296,55.126721275050656,30.0,JRP144,OA,MERTK+ Macrophages,COL6A1,MERTK+ Macrophages vs COL6A1
123.07692307692307,118783.38038324926,194.44774179793907,71.37081872101601,40.0,JRP144,OA,MERTK+ Macrophages,COL6A1,MERTK+ Macrophages vs COL6A1
153.84615384615384,177251.13062957505,237.53060269499645,83.6844488488426,50.0,JRP144,OA,MERTK+ Macrophages,COL6A1,MERTK+ Macrophages vs COL6A1
30.769230769230766,11675.810639700574,60.96331647660404,30.194085707373276,10.0,JRP144,OA,Dendritic cells,COL6A1,Dendritic cells vs COL6A1
61.53846153846153,44428.176515037114,118.91983774734486,57.381376208883324,20.0,JRP144,OA,Dendritic cells,COL6A1,Dendritic cells vs COL6A1
92.3076923076923,100360.46057213214,178.73367556805906,86.42598326036675,30.0,JRP144,OA,Dendritic cells,COL6A1,Dendritic cells vs COL6A1
123.07692307692307,178914.62774364703,238.64260892325066,115.5656858463276,40.0,JRP144,OA,Dendritic cells,COL6A1,Dendritic cells vs COL6A1
153.84615384615384,276957.09649760334,296.91443525693603,143.0682814107822,50.0,JRP144,OA,Dendritic cells,COL6A1,Dendritic cells vs COL6A1
30.769230769230766,10484.765582730048,57.77027383787035,27.001043068639582,10.0,JRP144,OA,CD4 T cells,COL6A1,CD4 T cells vs COL6A1
61.53846153846153,38903.56681792323,111.28068082985762,49.74221929139608,20.0,JRP144,OA,CD4 T cells,COL6A1,CD4 T cells vs COL6A1
92.3076923076923,89686.58634616972,168.96191018114703,76.65421787345473,30.0,JRP144,OA,CD4 T cells,COL6A1,CD4 T cells vs COL6A1
123.07692307692307,164359.77596589498,228.72984409756714,105.65292102064407,40.0,JRP144,OA,CD4 T cells,COL6A1,CD4 T cells vs COL6A1
153.84615384615384,257213.12249589397,286.13542204111224,132.2892681949584,50.0,JRP144,OA,CD4 T cells,COL6A1,CD4 T cells vs COL6A1
30.769230769230766,10003.156151453528,56.42786099125022,25.658630222019454,10.0,JRP144,OA,CD8 T cells,COL6A1,CD8 T cells vs COL6A1
61.53846153846153,44686.58839710462,119.26517876825689,57.726717229795355,20.0,JRP144,OA,CD8 T cells,COL6A1,CD8 T cells vs COL6A1
92.3076923076923,100468.38056045028,178.82974803221833,86.52205572452603,30.0,JRP144,OA,CD8 T cells,COL6A1,CD8 T cells vs COL6A1
123.07692307692307,178396.89835168648,238.29707595744142,115.22015288051836,40.0,JRP144,OA,CD8 T cells,COL6A1,CD8 T cells vs COL6A1
153.84615384615384,283408.19698965276,300.3525111054171,146.50635725926324,50.0,JRP144,OA,CD8 T cells,COL6A1,CD8 T cells vs COL6A1
30.769230769230766,1605.9884410970626,22.609776599915563,-8.159454169315204,10.0,JRP144,OA,B cells,COL6A1,B cells vs COL6A1
61.53846153846153,7244.4043810356625,48.020469947688106,-13.517991590773427,20.0,JRP144,OA,B cells,COL6A1,B cells vs COL6A1
92.3076923076923,19027.471747780415,77.82436871829593,-14.483323589396377,30.0,JRP144,OA,B cells,COL6A1,B cells vs COL6A1
123.07692307692307,39556.1935600646,112.2101932534124,-10.866729823510667,40.0,JRP144,OA,B cells,COL6A1,B cells vs COL6A1
153.84615384615384,71344.29085612712,150.6970241984794,-3.1491296476744424,50.0,JRP144,OA,B cells,COL6A1,B cells vs COL6A1
30.769230769230766,10527.90310593946,57.88899411291896,27.11976334368819,10.0,JRP144,OA,Monocytes,CHP,Monocytes vs CHP
61.53846153846153,42468.67388572701,116.26778896556986,54.72932742710833,20.0,JRP144,OA,Monocytes,CHP,Monocytes vs CHP
92.3076923076923,91544.78815860068,170.7032837981842,78.3955914904919,30.0,JRP144,OA,Monocytes,CHP,Monocytes vs CHP
123.07692307692307,157640.83211867145,224.00588235493362,100.92895927801055,40.0,JRP144,OA,Monocytes,CHP,Monocytes vs CHP
153.84615384615384,240861.39952752623,276.89088946672734,123.0447356205735,50.0,JRP144,OA,Monocytes,CHP,Monocytes vs CHP
30.769230769230766,4654.274704387824,38.49027996029367,7.721049191062903,10.0,JRP144,OA,Macrophages,CHP,Macrophages vs CHP
61.53846153846153,20446.051340683167,80.67329344436608,19.134831905904548,20.0,JRP144,OA,Macrophages,CHP,Macrophages vs CHP
92.3076923076923,48938.12889320394,124.80981627277329,32.50212396508098,30.0,JRP144,OA,Macrophages,CHP,Macrophages vs CHP
123.07692307692307,89673.26923116717,168.94936555874142,45.872442481818354,40.0,JRP144,OA,Macrophages,CHP,Macrophages vs CHP
153.84615384615384,141423.0714062007,212.17059589648574,58.324442050331896,50.0,JRP144,OA,Macrophages,CHP,Macrophages vs CHP
30.769230769230766,116050.17552326717,192.19760186438359,161.4283710951528,10.0,JRP144,OA,Vascular cells,COL4A1,Vascular cells vs COL4A1
61.53846153846153,252956.60852183268,283.7579765716239,222.21951503316234,20.0,JRP144,OA,Vascular cells,COL4A1,Vascular cells vs COL4A1
92.3076923076923,385989.73656069994,350.52011227994853,258.2124199722562,30.0,JRP144,OA,Vascular cells,COL4A1,Vascular cells vs COL4A1
123.07692307692307,528656.4692429192,410.21528561846435,287.13836254154126,40.0,JRP144,OA,Vascular cells,COL4A1,Vascular cells vs COL4A1
153.84615384615384,672266.6992871164,462.5895983863393,308.74344454018546,50.0,JRP144,OA,Vascular cells,COL4A1,Vascular cells vs COL4A1
30.769230769230766,5099.628637781969,40.28972835937192,9.520497590141154,10.0,S00292623,OA,Monocytes,COL6A1,Monocytes vs COL6A1
61.53846153846153,19324.44760736552,78.4293485786102,16.89088704014867,20.0,S00292623,OA,Monocytes,COL6A1,Monocytes vs COL6A1
92.3076923076923,42710.259140209404,116.59801767526007,24.29032536756776,30.0,S00292623,OA,Monocytes,COL6A1,Monocytes vs COL6A1
123.07692307692307,74693.242483341,154.1933770094246,31.116453932501543,40.0,S00292623,OA,Monocytes,COL6A1,Monocytes vs COL6A1
153.84615384615384,115449.06038391763,191.69918432489587,37.85303047874203,50.0,S00292623,OA,Monocytes,COL6A1,Monocytes vs COL6A1
30.769230769230766,4383.480127149727,37.353782410378976,6.5845516411482095,10.0,S00292623,OA,Macrophages,COL6A1,Macrophages vs COL6A1
61.53846153846153,16763.464061613657,73.04776750523118,11.509305966769645,20.0,S00292623,OA,Macrophages,COL6A1,Macrophages vs COL6A1
92.3076923076923,37693.10002174017,109.53577670256577,17.228084394873463,30.0,S00292623,OA,Macrophages,COL6A1,Macrophages vs COL6A1
123.07692307692307,67141.65755095436,146.1911535395878,23.11423046266472,40.0,S00292623,OA,Macrophages,COL6A1,Macrophages vs COL6A1
153.84615384615384,104481.35732208306,182.3662495022591,28.52009565610527,50.0,S00292623,OA,Macrophages,COL6A1,Macrophages vs COL6A1
30.769230769230766,3848.43458006201,34.999925330853245,4.230694561622478,10.0,S00292623,OA,MERTK+ Macrophages,COL6A1,MERTK+ Macrophages vs COL6A1
61.53846153846153,19242.172900310048,78.26221224720467,16.72375070874314,20.0,S00292623,OA,MERTK+ Macrophages,COL6A1,MERTK+ Macrophages vs COL6A1
92.3076923076923,30787.47664049608,98.99473816987658,6.687045862184277,30.0,S00292623,OA,MERTK+ Macrophages,COL6A1,MERTK+ Macrophages vs COL6A1
123.07692307692307,50029.64954080613,126.19402541780231,3.117102340879242,40.0,S00292623,OA,MERTK+ Macrophages,COL6A1,MERTK+ Macrophages vs COL6A1
153.84615384615384,76968.69160124019,156.52442449440935,2.6782706482555056,50.0,S00292623,OA,MERTK+ Macrophages,COL6A1,MERTK+ Macrophages vs COL6A1
30.769230769230766,6744.142464011173,46.332787743958015,15.563556974727248,10.0,S00292623,OA,Dendritic cells,COL6A1,Dendritic cells vs COL6A1
