phenotype,n_cells,n_with_fiber,median_density,mean_density,imageid,pathology,fiber_type
Neutrophils,2928,2728,6.724296345632579e-05,7.859637583461891e-05,S00292623,OA,COL6A1
Plasma cells,2824,2816,0.00012103733422138642,0.00012204979929615495,S00292623,OA,COL6A1
T cells,662,648,8.069155614759094e-05,8.795545652095947e-05,S00292623,OA,COL6A1
Vascular cells,14188,13998,9.41401488388561e-05,9.645459803111625e-05,S00292623,OA,COL6A1
B cells,4111,3235,2.6897185382530314e-05,2.9819707998282838e-05,S00292623,OA,COL4A1
CD4 T cells,3565,2805,2.6897185382530314e-05,3.160059694407438e-05,S00292623,OA,COL4A1
CD8 T cells,3363,2809,2.6897185382530314e-05,3.021025983691105e-05,S00292623,OA,COL4A1
Dendritic cells,2508,1618,2.6897185382530314e-05,2.6755883728790196e-05,S00292623,OA,COL4A1
MERTK+ Macrophages,4,3,4.034577807379547e-05,3.586291384337375e-05,S00292623,OA,COL4A1
Macrophages,7047,3038,1.3448592691265157e-05,2.2983901663281334e-05,S00292623,OA,COL4A1
Monocytes,61147,39000,2.6897185382530314e-05,2.6335103175177435e-05,S00292623,OA,COL4A1
Neutrophils,2928,2165,2.6897185382530314e-05,3.292265185390547e-05,S00292623,OA,COL4A1
Plasma cells,2824,2278,2.6897185382530314e-05,2.7357672752995055e-05,S00292623,OA,COL4A1
T cells,662,476,2.6897185382530314e-05,3.384750849608332e-05,S00292623,OA,COL4A1
Vascular cells,14188,13576,2.6897185382530314e-05,3.28289895247884e-05,S00292623,OA,COL4A1
B cells,4111,4103,0.00010758874153012126,0.00011211530904331579,S00292623,OA,CHP
CD4 T cells,3565,3532,9.41401488388561e-05,9.737664481495331e-05,S00292623,OA,CHP
CD8 T cells,3363,3349,9.41401488388561e-05,9.88224597012076e-05,S00292623,OA,CHP
