imageid,pathology,phenotype,fiber_type,feature_fiber,cell_feature,cross_morans_i,cell_fiber_pair
S00292623,OA,Vascular cells,COL4A1,area,is_Vascular_cells,0.061448211219198426,Vascular cells vs COL4A1
S00292623,OA,Vascular cells,COL4A1,major_axis_length,is_Vascular_cells,0.05826111076045125,Vascular cells vs COL4A1
S00292623,OA,Vascular cells,COL4A1,eccentricity,is_Vascular_cells,-0.00258091714202499,Vascular cells vs COL4A1
S00293087,OA,Monocytes,COL6A1,alignment_score,is_Monocytes,0.03027354718271731,Monocytes vs COL6A1
S00293087,OA,Monocytes,COL6A1,area,is_Monocytes,0.034071551784527344,Monocytes vs COL6A1
S00293087,OA,Monocytes,COL6A1,major_axis_length,is_Monocytes,0.019723755279521447,Monocytes vs COL6A1
S00293087,OA,Monocytes,COL6A1,eccentricity,is_Monocytes,-0.03258834356574,Monocytes vs COL6A1
S00293087,OA,Macrophages,COL6A1,alignment_score,is_Macrophages,-0.041413220763947156,Macrophages vs COL6A1
S00293087,OA,Macrophages,COL6A1,area,is_Macrophages,0.018327544887217315,Macrophages vs COL6A1
S00293087,OA,Macrophages,COL6A1,major_axis_length,is_Macrophages,0.026709169639396374,Macrophages vs COL6A1
S00293087,OA,Macrophages,COL6A1,eccentricity,is_Macrophages,0.006468588422078944,Macrophages vs COL6A1
S00293087,OA,MERTK+ Macrophages,COL6A1,alignment_score,is_MERTKpos_Macrophages,-0.007901452915805018,MERTK+ Macrophages vs COL6A1
S00293087,OA,MERTK+ Macrophages,COL6A1,area,is_MERTKpos_Macrophages,0.0007952544983519161,MERTK+ Macrophages vs COL6A1
S00293087,OA,MERTK+ Macrophages,COL6A1,major_axis_length,is_MERTKpos_Macrophages,0.003284360485284391,MERTK+ Macrophages vs COL6A1
S00293087,OA,MERTK+ Macrophages,COL6A1,eccentricity,is_MERTKpos_Macrophages,0.009267889759221807,MERTK+ Macrophages vs COL6A1
S00293087,OA,CD4 T cells,COL6A1,alignment_score,is_CD4_T_cells,0.00969353036696882,CD4 T cells vs COL6A1
S00293087,OA,CD4 T cells,COL6A1,area,is_CD4_T_cells,0.0006659605043525609,CD4 T cells vs COL6A1
S00293087,OA,CD4 T cells,COL6A1,major_axis_length,is_CD4_T_cells,0.00229445211482557,CD4 T cells vs COL6A1
S00293087,OA,CD4 T cells,COL6A1,eccentricity,is_CD4_T_cells,0.01126083958168493,CD4 T cells vs COL6A1
S00293087,OA,CD8 T cells,COL6A1,alignment_score,is_CD8_T_cells,0.013287579363976497,CD8 T cells vs COL6A1
S00293087,OA,CD8 T cells,COL6A1,area,is_CD8_T_cells,0.0006004392841866037,CD8 T cells vs COL6A1
S00293087,OA,CD8 T cells,COL6A1,major_axis_length,is_CD8_T_cells,-0.0020681093726821645,CD8 T cells vs COL6A1
S00293087,OA,CD8 T cells,COL6A1,eccentricity,is_CD8_T_cells,0.012263603083699288,CD8 T cells vs COL6A1
S00293087,OA,B cells,COL6A1,alignment_score,is_B_cells,0.0021225349324920134,B cells vs COL6A1
S00293087,OA,B cells,COL6A1,area,is_B_cells,0.002749445872899327,B cells vs COL6A1
S00293087,OA,B cells,COL6A1,major_axis_length,is_B_cells,0.0006098617806662091,B cells vs COL6A1
