imageid,pathology,phenotype,fiber_type,n_links,median_distance_px,mean_distance_px,median_distance_um,mean_distance_um
JRP141,RA,CD4 T cells,COL6A1,187095,108.79214750175912,102.61647471288941,35.357447938071715,33.35035428168906
JRP141,RA,CD4 T cells,FN,138335,110.79697096861909,104.4013801751865,36.0090155648012,33.930448556935616
JRP141,RA,CD4 T cells,MFAP5,75494,112.76879711375794,105.9438811206817,36.649859061971334,34.43176136422155
JRP141,RA,CD8 T cells,CHP,69151,106.88440644740257,100.86031275252526,34.737432095405836,32.77960164457071
JRP141,RA,CD8 T cells,COL1A1bis,66446,107.99492403923384,102.046243973557,35.098350312750995,33.16502929140603
JRP141,RA,CD8 T cells,COL4A1,11258,102.4689205838366,98.97233340928038,33.3023991897469,32.16600835801613
JRP141,RA,CD8 T cells,COL6A1,97199,108.6214350199601,102.4558265274347,35.301966381487034,33.29814362141628
JRP141,RA,CD8 T cells,FN,76665,110.31629322059975,103.92323627393452,35.85279529669492,33.77505178902872
JRP141,RA,CD8 T cells,MFAP5,44107,111.83306974586756,105.21076074436371,36.34574766740696,34.19349724191821
JRP141,RA,Dendritic cells,CHP,186220,106.96309913226413,101.05603551978653,34.763007217985844,32.84321154393062
JRP141,RA,Dendritic cells,COL1A1bis,176549,107.49220100593062,101.61460980021027,34.934965326927454,33.02474818506834
JRP141,RA,Dendritic cells,COL4A1,21219,107.00421387463584,101.93068603582812,34.77636950925665,33.12747296164414
JRP141,RA,Dendritic cells,COL6A1,250259,108.11759726804708,102.0342059099855,35.1382191121153,33.161116920745286
JRP141,RA,Dendritic cells,FN,222323,108.69983467907365,102.67004332194432,35.327446270698935,33.367764079631904
JRP141,RA,Dendritic cells,MFAP5,117311,110.12291489559584,103.82225377219233,35.78994734106865,33.74223247596251
JRP141,RA,MERTK+ Macrophages,CHP,19046,107.57769492629075,101.51335255921715,34.9627508510445,32.99183958174557
JRP141,RA,MERTK+ Macrophages,COL1A1bis,17540,109.26445753158163,102.92960684239115,35.51094869776403,33.452122223777124
JRP141,RA,MERTK+ Macrophages,COL4A1,874,116.14531378904731,109.37550206597814,37.74722698144038,35.5470381714429
JRP141,RA,MERTK+ Macrophages,COL6A1,27750,107.73689949761823,101.54043122029687,35.01449233672592,33.00064014659648
JRP141,RA,MERTK+ Macrophages,FN,23509,108.77292638433046,102.34492394651083,35.3512010749074,33.262100282616025
JRP141,RA,MERTK+ Macrophages,MFAP5,15914,107.09989563245371,101.30881821182206,34.80746608054746,32.92536591884217
JRP141,RA,Macrophages,CHP,102761,107.31477006538991,101.46275163634925,34.87730027125172,32.97539428181351
JRP141,RA,Macrophages,COL1A1bis,86846,108.42311700456642,102.56850202867163,35.23751302648409,33.33476315931828
JRP141,RA,Macrophages,COL4A1,7111,112.60232411496283,107.11340554237893,36.59575533736292,34.81185680127315
JRP141,RA,Macrophages,COL6A1,152987,107.19913260689508,101.33949944027873,34.839718097240905,32.93533731809059
JRP141,RA,Macrophages,FN,143387,107.03866799530387,101.16360529087908,34.78756709847376,32.8781717195357
JRP141,RA,Macrophages,MFAP5,93123,106.43145428456474,100.7007793023157,34.59022264248354,32.7277532732526
JRP141,RA,Monocytes,CHP,249920,106.9138999652487,100.9494800647266,34.74701748870583,32.80858102103615
JRP141,RA,Monocytes,COL1A1bis,238394,108.3648026330804,102.47718910516777,35.21856085575113,33.30508645917953
JRP141,RA,Monocytes,COL4A1,27375,108.57239975110858,103.45836566479865,35.28602991911029,33.623968841059565
JRP141,RA,Monocytes,COL6A1,395167,107.75452953401157,101.76131215015565,35.02022209855376,33.072426448800584
JRP141,RA,Monocytes,FN,334256,107.5958138056494,101.6795811826658,34.968639486836054,33.04586388436638
JRP141,RA,Monocytes,MFAP5,233459,107.9856450537344,101.81072631790839,35.09533464246368,33.08848605332023
JRP141,RA,Myeloid cells,CHP,39147,108.8602918432098,102.49345674512118,35.37959484904319,33.310373442164384
JRP141,RA,Myeloid cells,COL1A1bis,21775,106.95850029570377,101.02609160325352,34.76151259610373,32.8334797710574
