,annotation_level1,annotation_level2,annotation_level3,Ki67_status,Tier_A,Tier_B
40331_1_1130564,Vimentin only mesenchyme,Vimentin only mesenchyme,Vimentin only mesenchyme,Unknown,Vimentin only mesenchyme,Vimentin only mesenchyme
40331_1_1130565,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1130584,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1130650,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1130651,Endothelial cells,Endothelial cells,Endothelial cells,Unknown,Endothelial cells,Endothelial cells
40331_1_1130672,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1130673,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1130674,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1130713,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1130725,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1130745,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1130753,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1130812,Vimentin only mesenchyme,Vimentin only mesenchyme,Vimentin only mesenchyme,Unknown,Vimentin only mesenchyme,Vimentin only mesenchyme
40331_1_1130813,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1130814,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
