,annotation,annotation_level2,annotated_clusters_update3
exp_30888,stroma-immune,stroma-immune,CD4 T cells
exp_30889,tumour,tumour,tumour
exp_30890,stroma-fib,stroma-fib,myCAFs
exp_30891,tumour,tumour,tumour
exp_30892,tumour,tumour,tumour
exp_30893,tumour,tumour,tumour
exp_30894,tumour,tumour,tumour
exp_30895,tumour,tumour,tumour
exp_30896,tumour,tumour,tumour
exp_30897,tumour,tumour,tumour
exp_30898,stroma-immune,stroma-immune,other immune cells
exp_30899,tumour,tumour,tumour
exp_30900,tumour,tumour,tumour
exp_30901,tumour,tumour,tumour
exp_30902,tumour,stroma-immune,Unknown
exp_30903,stroma-fib,stroma-fib,myCAFs
exp_30904,tumour,tumour,tumour
exp_30905,tumour,tumour,tumour
exp_30906,stroma-fib,stroma-immune,Unknown
exp_30907,tumour,tumour,tumour
exp_30908,tumour,tumour,tumour
exp_30909,tumour,tumour,tumour
exp_30910,tumour,tumour,tumour
exp_30911,tumour,tumour,tumour
exp_30912,stroma-immune,stroma-immune,CD4 T cells
exp_30913,stroma-immune,stroma-immune,CD4 T cells
exp_30914,stroma-fib,stroma-immune,CD4 T cells
exp_30915,tumour,tumour,tumour
exp_30916,tumour,tumour,tumour
exp_30917,tumour,tumour,tumour
exp_30918,tumour,tumour,tumour
exp_30919,tumour,tumour,tumour
exp_30920,tumour,tumour,tumour
exp_30921,tumour,tumour,tumour
exp_30922,tumour,tumour,tumour
exp_30923,stroma-fib,stroma-fib,myCAFs
exp_30924,stroma-fib,stroma-immune,other immune cells
exp_30925,tumour,tumour,tumour
exp_30926,tumour,tumour,tumour
exp_30927,stroma-fib,stroma-fib,myCAFs
exp_30928,tumour,tumour,tumour
exp_30929,stroma-fib,stroma-fib,myCAFs
exp_30930,stroma-immune,vessel,vessel
exp_30931,tumour,tumour,tumour
exp_30932,tumour,tumour,tumour
exp_30933,stroma-fib,stroma-immune,Unknown
exp_30934,stroma-fib,stroma-fib,myCAFs
exp_30935,tumour,tumour,tumour
exp_30936,stroma-immune,stroma-immune,other immune cells
exp_30937,stroma-immune,stroma-immune,other immune cells
exp_30938,stroma-fib,stroma-immune,CD4 T cells
exp_30939,stroma-fib,stroma-immune,other immune cells
exp_30940,stroma-fib,stroma-immune,other immune cells
exp_30941,stroma-fib,stroma-fib,Unknown
exp_30942,tumour,tumour,tumour
