fiber_type,n_fibers,n_with_cells,mean_signal,median_signal,imageid,pathology,phenotype
COL1A1bis,8441,3475,2.0948123491449646,1.0121421878477714,S00292623,OA,CD4 T cells
COL4A1,5171,1709,2.15598085358672,0.9729027759716619,S00292623,OA,CD4 T cells
COL6A1,35631,8511,1.9621623897584473,0.8711657989079323,S00292623,OA,CD4 T cells
FN,51408,10679,1.615776240726976,0.8168896647065751,S00292623,OA,CD4 T cells
MFAP5,34117,7696,1.780755891057835,0.8482591188164831,S00292623,OA,CD4 T cells
CHP,34118,7747,1.7355479804826706,0.8520398939756552,S00292623,OA,CD8 T cells
COL1A1bis,8441,3485,2.063238425427498,1.0966090669989021,S00292623,OA,CD8 T cells
COL4A1,5171,1678,2.0965119385139093,1.015113193943031,S00292623,OA,CD8 T cells
COL6A1,35631,8879,1.8172306888640348,0.8813220589922789,S00292623,OA,CD8 T cells
FN,51408,11366,1.5357667295290243,0.8248501441503446,S00292623,OA,CD8 T cells
MFAP5,34117,8111,1.7117354133449683,0.859036197767608,S00292623,OA,CD8 T cells
CHP,34118,2579,0.8448351884534775,0.608722350909384,S00292623,OA,T cells
COL1A1bis,8441,1095,0.9769080283446522,0.6866757345008483,S00292623,OA,T cells
COL4A1,5171,712,0.96094560024991,0.727209175163071,S00292623,OA,T cells
COL6A1,35631,2668,0.8621173112374264,0.6084424134503739,S00292623,OA,T cells
FN,51408,3634,0.7978681550385385,0.5843449986497142,S00292623,OA,T cells
MFAP5,34117,2586,0.8739371861223544,0.6209238524904137,S00292623,OA,T cells
CHP,34118,4443,4.209819732859699,1.0199396955655389,S00292623,OA,B cells
COL1A1bis,8441,2264,3.15675926364337,1.1982390204422084,S00292623,OA,B cells
COL4A1,5171,1017,3.804831927504375,1.17513778780908,S00292623,OA,B cells
COL6A1,35631,5227,3.904324241563744,1.109602354364746,S00292623,OA,B cells
FN,51408,6199,3.051369149999048,0.9463789869592352,S00292623,OA,B cells
MFAP5,34117,4632,3.424393787617781,1.0634001139740308,S00292623,OA,B cells
CHP,34118,5446,2.261536528085344,0.9992486892682322,S00292623,OA,Plasma cells
COL1A1bis,8441,2079,1.9756078774446801,0.9571959589476784,S00292623,OA,Plasma cells
COL4A1,5171,1094,2.2668736167188133,1.0412598435197156,S00292623,OA,Plasma cells
COL6A1,35631,5993,2.364480438815473,1.0084500460368908,S00292623,OA,Plasma cells
FN,51408,7192,2.013206980200187,0.9250434270118247,S00292623,OA,Plasma cells
MFAP5,34117,5177,2.2187289777866543,0.9496798065069653,S00292623,OA,Plasma cells
CHP,34118,11293,1.587489957001208,0.8870633600876938,S00292623,OA,Macrophages
COL1A1bis,8441,2047,1.6300693551051568,0.798978646744358,S00292623,OA,Macrophages
COL4A1,5171,1603,1.7555780194503987,0.8691741875331848,S00292623,OA,Macrophages
COL6A1,35631,13125,1.9628541147841554,1.0284367473354243,S00292623,OA,Macrophages
FN,51408,18113,1.6848903943727729,0.9420391032834661,S00292623,OA,Macrophages
MFAP5,34117,11456,1.5257837594153534,0.8622955640704687,S00292623,OA,Macrophages
CHP,34118,21,0.4848929592470651,0.45041411026317907,S00292623,OA,MERTK+ Macrophages
COL1A1bis,8441,8,0.6116412155217966,0.5782110079770909,S00292623,OA,MERTK+ Macrophages
COL4A1,5171,8,0.6165786386320272,0.5475653819508817,S00292623,OA,MERTK+ Macrophages
COL6A1,35631,20,0.5836617526587627,0.5670426268995872,S00292623,OA,MERTK+ Macrophages
FN,51408,22,0.5803610333035506,0.5358175301990555,S00292623,OA,MERTK+ Macrophages
MFAP5,34117,23,0.49251039583536715,0.45346746240844005,S00292623,OA,MERTK+ Macrophages
CHP,34118,32629,6.477210967903806,4.666954546035375,S00292623,OA,Monocytes
COL1A1bis,8441,8074,8.568719890443166,6.961993236424339,S00292623,OA,Monocytes
COL4A1,5171,4781,9.026506841564313,7.314767477241737,S00292623,OA,Monocytes
COL6A1,35631,34180,7.153068019184168,5.162810827277644,S00292623,OA,Monocytes
FN,51408,49605,6.7566464003813556,4.871135183794364,S00292623,OA,Monocytes
MFAP5,34117,32721,6.657987271474282,4.8211708306113765,S00292623,OA,Monocytes
CHP,34118,6418,1.4505871975090283,0.7165909609377121,S00292623,OA,Dendritic cells
COL1A1bis,8441,2258,1.5444396332409258,0.7300118564267766,S00292623,OA,Dendritic cells
COL4A1,5171,1297,1.354741448624157,0.75189035709135,S00292623,OA,Dendritic cells
COL6A1,35631,7663,1.5896907670600298,0.7387320581905128,S00292623,OA,Dendritic cells
FN,51408,9189,1.2510944785934095,0.6946966975352363,S00292623,OA,Dendritic cells
