imageid,pathology,phenotype,fiber_type,feature_fiber,cell_feature,cross_morans_i
JRP112,RA,MERTK+ Macrophages,COL1A1bis,eccentricity,is_MERTKpos_Macrophages,-0.020368537037249824
JRP112,RA,MERTK+ Macrophages,COL1A1bis,alignment_score,is_MERTKpos_Macrophages,-0.07089294905620835
JRP112,RA,MERTK+ Macrophages,COL4A1,major_axis_length,is_MERTKpos_Macrophages,-0.040379896812528765
JRP112,RA,MERTK+ Macrophages,COL4A1,minor_axis_length,is_MERTKpos_Macrophages,-0.04181461599137135
JRP112,RA,MERTK+ Macrophages,COL4A1,area,is_MERTKpos_Macrophages,-0.05297452540664315
JRP112,RA,MERTK+ Macrophages,COL4A1,eccentricity,is_MERTKpos_Macrophages,0.043072280080360376
JRP112,RA,MERTK+ Macrophages,COL4A1,alignment_score,is_MERTKpos_Macrophages,-0.03271044100023656
JRP112,RA,MERTK+ Macrophages,COL6A1,major_axis_length,is_MERTKpos_Macrophages,-0.004966014399224977
JRP112,RA,MERTK+ Macrophages,COL6A1,minor_axis_length,is_MERTKpos_Macrophages,0.020368870843228647
JRP112,RA,MERTK+ Macrophages,COL6A1,area,is_MERTKpos_Macrophages,0.005852014175519037
JRP112,RA,MERTK+ Macrophages,COL6A1,eccentricity,is_MERTKpos_Macrophages,-0.015757665017840265
JRP112,RA,MERTK+ Macrophages,COL6A1,alignment_score,is_MERTKpos_Macrophages,-0.05848604867163052
JRP112,RA,MERTK+ Macrophages,FN,major_axis_length,is_MERTKpos_Macrophages,-0.03261269895685915
JRP112,RA,MERTK+ Macrophages,FN,minor_axis_length,is_MERTKpos_Macrophages,-0.008026244709862016
JRP112,RA,MERTK+ Macrophages,FN,area,is_MERTKpos_Macrophages,-0.017893808595440187
JRP112,RA,MERTK+ Macrophages,FN,eccentricity,is_MERTKpos_Macrophages,-0.03682393156259507
JRP112,RA,MERTK+ Macrophages,FN,alignment_score,is_MERTKpos_Macrophages,-0.022745546655680047
JRP112,RA,MERTK+ Macrophages,MFAP5,major_axis_length,is_MERTKpos_Macrophages,-0.026146971782200337
JRP112,RA,MERTK+ Macrophages,MFAP5,minor_axis_length,is_MERTKpos_Macrophages,-0.0551074325498504
JRP112,RA,MERTK+ Macrophages,MFAP5,area,is_MERTKpos_Macrophages,-0.027711991288495826
JRP112,RA,MERTK+ Macrophages,MFAP5,eccentricity,is_MERTKpos_Macrophages,0.06316951430042404
JRP112,RA,MERTK+ Macrophages,MFAP5,alignment_score,is_MERTKpos_Macrophages,-0.030887303630759328
JRP112,RA,Monocytes,CHP,major_axis_length,is_Monocytes,0.024604488138705936
JRP112,RA,Monocytes,CHP,minor_axis_length,is_Monocytes,0.0003123641680235169
JRP112,RA,Monocytes,CHP,area,is_Monocytes,0.0016115332114299025
JRP112,RA,Monocytes,CHP,eccentricity,is_Monocytes,0.058395970415078005
JRP112,RA,Monocytes,CHP,alignment_score,is_Monocytes,-0.003955448021057235
JRP112,RA,Monocytes,COL1A1bis,major_axis_length,is_Monocytes,0.01648495057546821
JRP112,RA,Monocytes,COL1A1bis,minor_axis_length,is_Monocytes,0.002222344113618924
JRP112,RA,Monocytes,COL1A1bis,area,is_Monocytes,-0.01271760155462408
JRP112,RA,Monocytes,COL1A1bis,eccentricity,is_Monocytes,-0.00047707308813573813
JRP112,RA,Monocytes,COL1A1bis,alignment_score,is_Monocytes,0.05291419757072412
JRP112,RA,Monocytes,COL4A1,major_axis_length,is_Monocytes,-0.014491288383702389
JRP112,RA,Monocytes,COL4A1,minor_axis_length,is_Monocytes,0.023011746479066852
JRP112,RA,Monocytes,COL4A1,area,is_Monocytes,-0.013023129376232599
JRP112,RA,Monocytes,COL4A1,eccentricity,is_Monocytes,-0.03893322216630776
JRP112,RA,Monocytes,COL4A1,alignment_score,is_Monocytes,0.09479928404060468
JRP112,RA,Monocytes,COL6A1,major_axis_length,is_Monocytes,0.03561889336033879
JRP112,RA,Monocytes,COL6A1,minor_axis_length,is_Monocytes,0.03764927594763864
JRP112,RA,Monocytes,COL6A1,area,is_Monocytes,0.02810420998893087
JRP112,RA,Monocytes,COL6A1,eccentricity,is_Monocytes,-0.012684733634919582
JRP112,RA,Monocytes,COL6A1,alignment_score,is_Monocytes,0.03012382243206658
JRP112,RA,Monocytes,FN,major_axis_length,is_Monocytes,0.005143968002469111
JRP112,RA,Monocytes,FN,minor_axis_length,is_Monocytes,-0.005145760403284352
JRP112,RA,Monocytes,FN,area,is_Monocytes,-0.0011897444444297026
JRP112,RA,Monocytes,FN,eccentricity,is_Monocytes,0.017677829422201963
JRP112,RA,Monocytes,FN,alignment_score,is_Monocytes,0.07830924040813537
JRP112,RA,Monocytes,MFAP5,major_axis_length,is_Monocytes,-0.005121339065109056
JRP112,RA,Monocytes,MFAP5,minor_axis_length,is_Monocytes,-0.01119687880637891
JRP112,RA,Monocytes,MFAP5,area,is_Monocytes,-0.012710710604120455
JRP112,RA,Monocytes,MFAP5,eccentricity,is_Monocytes,-0.01059250108393684
JRP112,RA,Monocytes,MFAP5,alignment_score,is_Monocytes,0.11323204658832833
JRP112,RA,Dendritic cells,CHP,major_axis_length,is_Dendritic_cells,-0.02883535036332264
JRP112,RA,Dendritic cells,CHP,minor_axis_length,is_Dendritic_cells,-0.022078641675344766
JRP112,RA,Dendritic cells,CHP,area,is_Dendritic_cells,-0.018611920526558703
JRP112,RA,Dendritic cells,CHP,eccentricity,is_Dendritic_cells,-0.011309056772017066
JRP112,RA,Dendritic cells,CHP,alignment_score,is_Dendritic_cells,0.01233252270418136
JRP112,RA,Dendritic cells,COL1A1bis,major_axis_length,is_Dendritic_cells,0.01910321350296734
JRP112,RA,Dendritic cells,COL1A1bis,minor_axis_length,is_Dendritic_cells,0.043545708974031996
JRP112,RA,Dendritic cells,COL1A1bis,area,is_Dendritic_cells,0.032840070532162806
JRP112,RA,Dendritic cells,COL1A1bis,eccentricity,is_Dendritic_cells,-0.030534637169354194
JRP112,RA,Dendritic cells,COL1A1bis,alignment_score,is_Dendritic_cells,-0.0022278063777088483
JRP112,RA,Dendritic cells,COL4A1,major_axis_length,is_Dendritic_cells,-0.006110794175051099
JRP112,RA,Dendritic cells,COL4A1,minor_axis_length,is_Dendritic_cells,0.007054420001786118
JRP112,RA,Dendritic cells,COL4A1,area,is_Dendritic_cells,-0.0151524039121989
JRP112,RA,Dendritic cells,COL4A1,eccentricity,is_Dendritic_cells,-0.00476788573792666
JRP112,RA,Dendritic cells,COL4A1,alignment_score,is_Dendritic_cells,0.05756013787916757
JRP112,RA,Dendritic cells,COL6A1,major_axis_length,is_Dendritic_cells,-0.012330971022143467
JRP112,RA,Dendritic cells,COL6A1,minor_axis_length,is_Dendritic_cells,0.012943387035848472
JRP112,RA,Dendritic cells,COL6A1,area,is_Dendritic_cells,0.00028693254534060947
JRP112,RA,Dendritic cells,COL6A1,eccentricity,is_Dendritic_cells,-0.04152822142823672
JRP112,RA,Dendritic cells,COL6A1,alignment_score,is_Dendritic_cells,0.034057220565356754
JRP112,RA,Dendritic cells,FN,major_axis_length,is_Dendritic_cells,-0.016049448144936827
JRP112,RA,Dendritic cells,FN,minor_axis_length,is_Dendritic_cells,-0.015450940124130254
JRP112,RA,Dendritic cells,FN,area,is_Dendritic_cells,-0.01253850862915646
JRP112,RA,Dendritic cells,FN,eccentricity,is_Dendritic_cells,-0.02662542827550317
JRP112,RA,Dendritic cells,FN,alignment_score,is_Dendritic_cells,0.02350350356416955
JRP112,RA,Dendritic cells,MFAP5,major_axis_length,is_Dendritic_cells,0.004211019397240896
JRP112,RA,Dendritic cells,MFAP5,minor_axis_length,is_Dendritic_cells,0.004091584370021776
JRP112,RA,Dendritic cells,MFAP5,area,is_Dendritic_cells,0.0006327986373235238
JRP112,RA,Dendritic cells,MFAP5,eccentricity,is_Dendritic_cells,0.012696298506679034
JRP112,RA,Dendritic cells,MFAP5,alignment_score,is_Dendritic_cells,-0.017433432034315566
JRP112,RA,Neutrophils,CHP,major_axis_length,is_Neutrophils,-0.011159191458332163
JRP112,RA,Neutrophils,CHP,minor_axis_length,is_Neutrophils,-0.005636214481271789
JRP112,RA,Neutrophils,CHP,area,is_Neutrophils,-0.02498726702595218
JRP112,RA,Neutrophils,CHP,eccentricity,is_Neutrophils,0.02357311017446235
JRP112,RA,Neutrophils,CHP,alignment_score,is_Neutrophils,0.0002920378906222126
JRP112,RA,Neutrophils,COL1A1bis,major_axis_length,is_Neutrophils,-0.0005453585577984276
JRP112,RA,Neutrophils,COL1A1bis,minor_axis_length,is_Neutrophils,0.02816496263274403
JRP112,RA,Neutrophils,COL1A1bis,area,is_Neutrophils,0.02142705159520153
JRP112,RA,Neutrophils,COL1A1bis,eccentricity,is_Neutrophils,-0.005669015551794638
JRP112,RA,Neutrophils,COL1A1bis,alignment_score,is_Neutrophils,-0.02413194929189231
JRP112,RA,Neutrophils,COL4A1,major_axis_length,is_Neutrophils,-0.05939140976218664
JRP112,RA,Neutrophils,COL4A1,minor_axis_length,is_Neutrophils,-0.03195527302078584
JRP112,RA,Neutrophils,COL4A1,area,is_Neutrophils,-0.06720136229763633
JRP112,RA,Neutrophils,COL4A1,eccentricity,is_Neutrophils,0.003745533765099622
JRP112,RA,Neutrophils,COL4A1,alignment_score,is_Neutrophils,0.04693788784038539
JRP112,RA,Neutrophils,COL6A1,major_axis_length,is_Neutrophils,-0.015106413205652194
JRP112,RA,Neutrophils,COL6A1,minor_axis_length,is_Neutrophils,0.024988826812600885
JRP112,RA,Neutrophils,COL6A1,area,is_Neutrophils,-0.0012171413430871981
JRP112,RA,Neutrophils,COL6A1,eccentricity,is_Neutrophils,-0.03552644522396429
JRP112,RA,Neutrophils,COL6A1,alignment_score,is_Neutrophils,0.014129326953370032
JRP112,RA,Neutrophils,FN,major_axis_length,is_Neutrophils,-0.03243448085946306
JRP112,RA,Neutrophils,FN,minor_axis_length,is_Neutrophils,0.0021940978671888814
