phenotype,fiber_type,feature_fiber,n_RA,n_OA,mean_RA,mean_OA,RA_minus_OA,p_value_mannwhitney
Dendritic cells,COL6A1,area,3,3,-0.008819171459082545,-0.0066466607963723,-0.002172510662710245,0.7
CD4 T cells,COL4A1,eccentricity,3,3,0.005884094926188146,0.008063965787176759,-0.0021798708609886133,1.0
Macrophages,COL6A1,eccentricity,3,3,0.005090917824700236,0.007628628663621744,-0.0025377108389215072,0.7
Vascular cells,COL6A1,eccentricity,3,3,0.012467069399507405,0.015234673629339708,-0.0027676042298323024,1.0
B cells,MFAP5,minor_axis_length,3,3,-0.011956144030577015,-0.008856385621342751,-0.003099758409234264,1.0
B cells,COL1A1bis,alignment_score,3,3,-0.0021032268554002967,0.0011456319820076588,-0.0032488588374079558,1.0
Dendritic cells,COL6A1,alignment_score,3,3,-0.002074840584900492,0.001409446118871385,-0.0034842867037718768,0.7
Dendritic cells,CHP,major_axis_length,3,3,-0.0029696383156098023,0.0005757049722778616,-0.003545343287887664,1.0
T cells,FN,major_axis_length,3,3,0.015061947258871444,0.018947001606047745,-0.0038850543471763005,1.0
Dendritic cells,FN,alignment_score,3,3,-0.005140346833833454,-0.0007992202737864667,-0.004341126560046988,1.0
T cells,COL6A1,eccentricity,3,3,0.0007507236219668102,0.005150878346882859,-0.004400154724916048,1.0
Neutrophils,CHP,alignment_score,3,3,-0.007800557881592844,-0.0027165139845859456,-0.005084043897006899,0.7
Neutrophils,COL1A1bis,major_axis_length,3,3,0.008424164829308307,0.01361933942376134,-0.005195174594453032,0.7
Macrophages,COL4A1,alignment_score,3,3,-0.009475656782023447,-0.004199545230320729,-0.005276111551702717,0.7
T cells,CHP,minor_axis_length,3,3,0.003098587667002753,0.008485150772349298,-0.0053865631053465444,1.0
Monocytes,MFAP5,area,3,3,-0.0013686934502185073,0.004364573598561494,-0.005733267048780001,0.7
B cells,MFAP5,alignment_score,3,3,-0.005496325392285295,0.0004604116107512444,-0.00595673700303654,1.0
Neutrophils,COL4A1,area,3,3,-0.007347684616544943,-0.0012502828615108662,-0.006097401755034077,0.7
Neutrophils,FN,eccentricity,3,3,-0.008938143246141618,-0.002821442628358093,-0.006116700617783525,1.0
Dendritic cells,CHP,minor_axis_length,3,3,-0.005727802431120563,0.0003933728460429123,-0.006121175277163475,0.7
Macrophages,FN,minor_axis_length,3,3,-0.011061829363090117,-0.004690990956327762,-0.006370838406762356,1.0
Monocytes,MFAP5,eccentricity,3,3,-0.015225891950371625,-0.008813645058445603,-0.0064122468919260225,1.0
CD4 T cells,COL6A1,major_axis_length,3,3,-0.005509370209020807,0.0011744297680616976,-0.006683799977082505,0.4
Macrophages,COL4A1,area,3,3,-0.036271296011845595,-0.02946297224466089,-0.006808323767184706,0.7
Macrophages,COL1A1bis,area,3,3,-0.01420857645510201,-0.007289484538606848,-0.006919091916495162,1.0
Neutrophils,COL6A1,eccentricity,3,3,-0.009414685145067261,-0.0024476214135483124,-0.006967063731518949,0.7
Plasma cells,COL4A1,alignment_score,3,3,0.013359183606718833,0.020392232975291552,-0.007033049368572719,1.0
MERTK+ Macrophages,FN,eccentricity,3,3,-0.006404516305880167,0.0007772045989172449,-0.007181720904797412,1.0
Monocytes,COL1A1bis,major_axis_length,3,3,-0.004348472497213946,0.002869930000177314,-0.007218402497391261,1.0
