phenotype,fiber_type,feature_fiber,n_RA,n_OA,mean_RA,mean_OA,RA_minus_OA,p_value_mannwhitney
T cells,FN,minor_axis_length,3,3,0.01150723886211656,0.02316972807510316,-0.0116624892129866,0.7
CD8 T cells,COL6A1,eccentricity,3,3,-0.002979977076416302,0.008714469621474279,-0.011694446697890581,0.7
CD8 T cells,MFAP5,alignment_score,3,3,-0.003137183434714046,0.008682349363957278,-0.011819532798671324,0.7
T cells,FN,area,3,3,0.01352363134663108,0.025507733622059048,-0.011984102275427969,0.4
B cells,FN,eccentricity,3,3,0.0015929411733676547,0.013731632765218474,-0.01213869159185082,1.0
Neutrophils,COL4A1,major_axis_length,3,3,-0.01705579531160364,-0.004885162107267149,-0.012170633204336492,0.7
Dendritic cells,FN,area,3,3,-0.01094425227833743,0.0016420173524275238,-0.012586269630764953,0.1
Macrophages,COL1A1bis,alignment_score,3,3,-0.015916407347207367,-0.003109259490575894,-0.012807147856631474,0.7
B cells,FN,minor_axis_length,3,3,-0.02160672390584791,-0.00874175163176705,-0.012864972274080858,0.4
Vascular cells,MFAP5,eccentricity,3,3,0.01131794333849317,0.024317525227871062,-0.012999581889377892,0.7
Monocytes,FN,area,3,3,-0.0019304937520307319,0.011195989456435062,-0.013126483208465793,0.7
B cells,COL6A1,area,3,3,-0.015427973483235921,-0.002198430552145924,-0.013229542931089997,0.1
CD8 T cells,CHP,area,3,3,-0.01002313629973757,0.0032165732632426516,-0.013239709562980222,0.1
Monocytes,FN,major_axis_length,3,3,0.0001508341760309556,0.01353261672710141,-0.013381782551070453,0.4
B cells,COL6A1,minor_axis_length,3,3,-0.019405976087762535,-0.00571773611444145,-0.013688239973321085,0.2
MERTK+ Macrophages,CHP,minor_axis_length,3,3,-0.023191491592153158,-0.009140067679834595,-0.014051423912318563,0.2
MERTK+ Macrophages,FN,major_axis_length,3,3,-0.012204087572547007,0.002172878872938383,-0.01437696644548539,0.4
CD4 T cells,FN,minor_axis_length,3,3,-0.03001968478022125,-0.01557982032912348,-0.01443986445109777,0.4
